vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2012-09-21 00:00:00,2012
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,6,2016-11-03 00:00:00,2016
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,14,2013-08-28 00:00:00,2013
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,15,2015-10-30 00:00:00,2015
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2013-09-06 00:00:00,2013
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2012-07-17 00:00:00,2012
6,70650,Masculino,Negro,Youth,Desplazamiento forzado,21,2012-08-06 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2013-08-22 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,7,2014-06-03 00:00:00,2014
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,16,2019-04-04 00:00:00,2019
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,15,2014-10-23 00:00:00,2014
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,15,2014-07-02 00:00:00,2014
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,15,2018-10-01 00:00:00,2018
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,1,2013-08-23 00:00:00,2013
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,14,2014-05-06 00:00:00,2014
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,10,2020-11-03 00:00:00,2020
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,8,2016-08-12 00:00:00,2016
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,7,2020-12-18 00:00:00,2020
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,6,2016-07-22 00:00:00,2016
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2014-06-07 00:00:00,2014
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,8,2012-10-05 00:00:00,2012
