fecha_corte,nom_rpt,cod_pais,pais,cod_estado_depto,estado_depto,vigencia,param_hecho,hecho,sexo,etnia,discapacidad,ciclo_vital,per_ocu,per_llegada,eventos
2023-12-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,63,Quindio,2022,5,Desplazamiento forzado,Hombre,Ninguna,Visual,entre 29 y 60,0,2,0
2025-08-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,85,Casanare,2013,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 12 y 17,79,107,79
2024-10-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,5,Antioquia,2012,5,Desplazamiento forzado,Mujer,Indigena,Visual,entre 60 y 110,1,1,1
2025-07-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,47,Magdalena,2015,5,Desplazamiento forzado,Mujer,Ninguna,Auditiva,entre 6 y 11,1,0,1
2025-03-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,47,Magdalena,2014,5,Desplazamiento forzado,Hombre,Ninguna,Auditiva,entre 29 y 59,2,4,2
2024-10-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,18,Caqueta,2014,5,Desplazamiento forzado,Hombre,Ninguna,Fisica,entre 29 y 59,60,40,62
2024-04-30,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,27,Choco,2021,5,Desplazamiento forzado,Hombre,Indigena,Fisica,entre 61 y 100,1,0,1
2025-08-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,5,Antioquia,2012,5,Desplazamiento forzado,Mujer,Palenquero,Ninguna,entre 29 y 59,3,4,3
2024-05-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,63,Quindio,2014,5,Desplazamiento forzado,Mujer,Indigena,Ninguna,entre 18 y 28,2,16,2
2025-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,50,Meta,2012,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 6 y 11,231,274,231
